Level,Date and Time,Source,Event ID,Task Category
Information,11/13/2021 6:12:09 PM,OpenSSH,4,None,sshd: Received disconnect from 192.168.137.1 port 53949:11: disconnected by user
Information,11/13/2021 6:12:09 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 53949 id 0
Information,11/13/2021 6:12:05 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 53949 id 0
Information,11/13/2021 6:12:05 PM,OpenSSH,4,None,sshd: User child is on pid 3468
Information,11/13/2021 6:12:05 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 53949 ssh2
Information,11/13/2021 6:12:02 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53949 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:12:02 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53949 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:12:00 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 53949 on 192.168.137.223 port 22
Information,11/13/2021 6:10:38 PM,OpenSSH,4,None,sshd: Connection reset by 192.168.137.1 port 53930 [preauth]
Information,11/13/2021 6:10:38 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 53930 on 192.168.137.223 port 22
Information,11/13/2021 6:09:58 PM,OpenSSH,4,None,sshd: Connection reset by 192.168.137.1 port 53926 [preauth]
Information,11/13/2021 6:09:57 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 53926 on 192.168.137.223 port 22
Information,11/13/2021 6:08:04 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:08:04 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:06:37 PM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/13/2021 6:05:58 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:05:58 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
